name,level,status,province,district,division,location,constituency,county,email,latitude,longitude
KIRATINA PRI SCH,PRIMARY SCHOOL,PUBLIC,CENTRAL,THIKA,RUIRU,RUIRU,JUJA,KIAMBU,,-1.18,37.04
SIRIENYI PRIMARY,PRIMARY SCHOOL,PUBLIC,COAST,TAITA TAVETA,WUNDANYI,WUNDANYI,WUNDANYI,TAITA TAVETA,,-3.42,38.39
BERRY HILL ACADEMY PRI,PRIMARY SCHOOL,PUBLIC,CENTRAL,THIKA,RUIRU,RUIRU,JUJA,KIAMBU,,-1.16,36.94
WAKANIU PRI SCH,PRIMARY SCHOOL,PUBLIC,CENTRAL,KIRINYAGA,MWEA,MUTITHI,MWEA,KIRINYAGA,,-0.66,37.29
SUNGULULU PRIMARY,PRIMARY SCHOOL,PUBLIC,COAST,TAITA TAVETA,WUNDANYI,WUNDANYI,WUNDANYI,TAITA TAVETA,,-3.39,38.36
KANDONGU PRI SCH,PRIMARY SCHOOL,PUBLIC,CENTRAL,KIRINYAGA,MWEA,MUTITHI,MWEA,KIRINYAGA,,-0.65,37.28
KINYAGA PRI SCH,PRIMARY SCHOOL,PUBLIC,CENTRAL,KIRINYAGA,MWEA,MUTITHI,MWEA,KIRINYAGA,,-0.66,37.27
NYAMBU PRIMARY,PRIMARY SCHOOL,PUBLIC,COAST,TAITA TAVETA,WUNDANYI,WUNDANYI,WUNDANYI,TAITA TAVETA,,-3.38,38.36
KANGARU PRI SCHO,PRIMARY SCHOOL,PUBLIC,CENTRAL,KIRINYAGA,MWEA,MUTITHI,MWEA,KIRINYAGA,,-0.64,37.24
MSANGARINYI PRIMARY,PRIMARY SCHOOL,PUBLIC,COAST,TAITA TAVETA,WUNDANYI,WERUGHA,WUNDANYI,TAITA TAVETA,,-3.38,38.35
KAGIO PRI,PRIMARY SCHOOL,PUBLIC,CENTRAL,KIRINYAGA,MWEA,MUTITHI,MWEA,KIRINYAGA,,-0.63,37.25
NDURURU ACADEMY,PRIMARY SCHOOL,PUBLIC,CENTRAL,KIRINYAGA,MWEA,MUTITHI,MWEA,KIRINYAGA,,-0.63,37.26
RWANGONDU PRI SCH,PRIMARY SCHOOL,PUBLIC,CENTRAL,KIRINYAGA,NDIA,MWERUA,NDIA,KIRINYAGA,,-0.61,37.26
NG'ONDA PRIMARY,PRIMARY SCHOOL,PUBLIC,COAST,TAITA TAVETA,WUNDANYI,WUNDANYI,WUNDANYI,TAITA TAVETA,,-3.4,38.35
NDABA PRI,PRIMARY SCHOOL,PUBLIC,CENTRAL,KIRINYAGA,MWEA,KANGAI,MWEA,KIRINYAGA,,-0.62,37.27
NYAGA PRI,PRIMARY SCHOOL,PUBLIC,CENTRAL,KIRINYAGA,MWEA,KANGAI,MWEA,KIRINYAGA,,-0.58,37.3
MBAURO PRIMARY,PRIMARY SCHOOL,PUBLIC,COAST,TAITA TAVETA,WUNDANYI,WUNDANYI,WUNDANYI,TAITA TAVETA,,-3.41,38.35
KIMICHA ST STEPHEN PRI,PRIMARY SCHOOL,PUBLIC,CENTRAL,KIRINYAGA,MWEA,KANGAI,MWEA,KIRINYAGA,,-0.59,37.3
KOMBUINI PRI,PRIMARY SCHOOL,PUBLIC,CENTRAL,KIRINYAGA,MWEA,KANGAI,MWEA,KIRINYAGA,,-0.6,37.29
NGURUBANI PRI,PRIMARY SCHOOL,PUBLIC,CENTRAL,KIRINYAGA,MWEA,TEBERE,MWEA,KIRINYAGA,,-0.69,37.35
KUNGU PRIMARY,PRIMARY SCHOOL,PUBLIC,COAST,TAITA TAVETA,MWATATE,KIDAYA NGERENYI,MWATATE,TAITA TAVETA,,-3.42,38.35
KANGAI PRI,PRIMARY SCHOOL,PUBLIC,CENTRAL,KIRINYAGA,MWEA,KANGAI,MWEA,KIRINYAGA,,-0.63,37.3
CIAGIINI JUNIOR ACADEMY,PRIMARY SCHOOL,PUBLIC,CENTRAL,KIRINYAGA,MWEA,THIBA,MWEA,KIRINYAGA,,-0.75,37.39
MAGIMBINYI PRIMARY,PRIMARY SCHOOL,PUBLIC,COAST,TAITA TAVETA,WUNDANYI,WUMINGU,WUNDANYI,TAITA TAVETA,,-3.37,38.35
THOME PRI SCH,PRIMARY SCHOOL,PUBLIC,CENTRAL,KIRINYAGA,MWEA,THIBA,MWEA,KIRINYAGA,,-0.76,37.38
DAYSTAR KANGURE,PRIMARY SCHOOL,PUBLIC,CENTRAL,KIRINYAGA,MWEA,KANGAI,MWEA,KIRINYAGA,,-0.62,37.31
NGOLIA PRIMARY,PRIMARY SCHOOL,PUBLIC,COAST,TAITA TAVETA,WUNDANYI,WUMINGU,WUNDANYI,TAITA TAVETA,,-3.35,38.33
KANGURE PRI SCH,PRIMARY SCHOOL,PUBLIC,CENTRAL,KIRINYAGA,MWEA,KANGAI,MWEA,KIRINYAGA,,-0.62,37.32
CIAGINI PRI,PRIMARY SCHOOL,PUBLIC,CENTRAL,KIRINYAGA,MWEA,THIBA,MWEA,KIRINYAGA,,-0.75,37.39
KITUMBI PRIMARY,PRIMARY SCHOOL,PUBLIC,COAST,TAITA TAVETA,WUNDANYI,WUMINGU,WUNDANYI,TAITA TAVETA,,-3.35,38.34
MIANYA PRI,PRIMARY SCHOOL,PUBLIC,CENTRAL,KIRINYAGA,MWEA,KANGAI,MWEA,KIRINYAGA,,-0.63,37.32
PEMA PROGRESSIVE ACADEMY,PRIMARY SCHOOL,PUBLIC,CENTRAL,KIRINYAGA,MWEA,THIBA,MWEA,KIRINYAGA,,-0.75,37.41
KIMANGACHUGHU PRIMARY,PRIMARY SCHOOL,PUBLIC,COAST,TAITA TAVETA,WUNDANYI,WUMINGU,WUNDANYI,TAITA TAVETA,,-3.35,38.35
MARUROMO PRI,PRIMARY SCHOOL,PUBLIC,CENTRAL,KIRINYAGA,MWEA,THIBA,MWEA,KIRINYAGA,,-0.73,37.45
GITOOINI PRI,PRIMARY SCHOOL,PUBLIC,CENTRAL,KIRINYAGA,MWEA,KANGAI,MWEA,KIRINYAGA,,-0.64,37.29
KIUMBU-INI PRI,PRIMARY SCHOOL,PUBLIC,CENTRAL,KIRINYAGA,MWEA,TEBERE,MWEA,KIRINYAGA,,-0.71,37.47
NDINDIUKU PRI,PRIMARY SCHOOL,PUBLIC,CENTRAL,KIRINYAGA,MWEA,TEBERE,MWEA,KIRINYAGA,,-0.71,37.44
RIANDIRA PRI SCH,PRIMARY SCHOOL,PUBLIC,CENTRAL,KIRINYAGA,MWEA,MUTITHI,MWEA,KIRINYAGA,,-0.7,37.25
RIANDIRA SPECIAL UNIT,PRIMARY SCHOOL,PUBLIC,CENTRAL,KIRINYAGA,MWEA,MUTITHI,MWEA,KIRINYAGA,,-0.7,37.25
