name,level,status,province,district,division,location,constituency,county,email,latitude,longitude
DANJOSE EDUCATIONAL CENTRE PRI,PRIMARY SCHOOL,PRIVATE,CENTRAL,THIKA,RUIRU,RUIRU,JUJA,KIAMBU,,-1.16,36.96
RUIRU EAST PRI SCH,PRIMARY SCHOOL,PRIVATE,CENTRAL,THIKA,RUIRU,RUIRU,JUJA,KIAMBU,,-1.16,36.96
AGAPE DAYS RING ACADEMY PRI SCH,PRIMARY SCHOOL,PRIVATE,CENTRAL,THIKA,RUIRU,RUIRU,JUJA,KIAMBU,,-1.15,36.98
BERRY HILL ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,CENTRAL,THIKA,RUIRU,RUIRU,JUJA,KIAMBU,,-1.16,36.94
NDURURU ACADEMY,PRIMARY SCHOOL,PRIVATE,CENTRAL,KIRINYAGA,MWEA,MUTITHI,MWEA,KIRINYAGA,,-0.63,37.26
KIMICHA ST STEPHEN PRI,PRIMARY SCHOOL,PRIVATE,CENTRAL,KIRINYAGA,MWEA,KANGAI,MWEA,KIRINYAGA,,-0.59,37.3
CIAGIINI JUNIOR ACADEMY,PRIMARY SCHOOL,PRIVATE,CENTRAL,KIRINYAGA,MWEA,THIBA,MWEA,KIRINYAGA,,-0.75,37.39
DAYSTAR KANGURE,PRIMARY SCHOOL,PRIVATE,CENTRAL,KIRINYAGA,MWEA,KANGAI,MWEA,KIRINYAGA,,-0.62,37.31
PEMA PROGRESSIVE ACADEMY,PRIMARY SCHOOL,PRIVATE,CENTRAL,KIRINYAGA,MWEA,THIBA,MWEA,KIRINYAGA,,-0.75,37.41
VINEYARD PRI SCH,PRIMARY SCHOOL,PRIVATE,CENTRAL,KIRINYAGA,MWEA,TEBERE,MWEA,KIRINYAGA,,-0.69,37.41
ST TERESA ACADEMY,PRIMARY SCHOOL,PRIVATE,CENTRAL,KIRINYAGA,MWEA,TEBERE,MWEA,KIRINYAGA,,-0.66,37.4
REHOBOTH JUNIOR SCH,PRIMARY SCHOOL,PRIVATE,CENTRAL,KIRINYAGA,MWEA,TEBERE,MWEA,KIRINYAGA,,-0.66,37.39
EMMAUS JUNIOR ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,COAST,MOMBASA,KISAUNI,KISAUNI,KISAUNI,MOMBASA,,-4.02,39.67
DOLPHIN WINNERS SCH PRI,PRIMARY SCHOOL,PRIVATE,COAST,MOMBASA,KISAUNI,KISAUNI,KISAUNI,MOMBASA,,-4.02,39.68
LITTLE ANGLES KINGS AND QUEENS ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,COAST,MOMBASA,KISAUNI,KISAUNI,KISAUNI,MOMBASA,,-4.02,39.68
ROKA PREPARATORY,PRIMARY SCHOOL,PRIVATE,CENTRAL,KIRINYAGA,MWEA,TEBERE,MWEA,KIRINYAGA,,-0.67,37.36
